iata,name,lat,lon,country,continent,region
JJI,Juanjui Airport,-7.1691,-76.7286,PE,SA,OTHER
JJN,Quanzhou Jinjiang International Airport,24.7959,118.5886,CN,AS,OTHER
JJU,Qaqortoq Airport,60.7638,-46.065,GL,NA,OTHER
JKG,Jönköping Airport,57.7576,14.0687,SE,EU,EU
JKH,Chios Island National Airport,38.3432,26.1406,GR,EU,EU
JKR,Janakpur Airport,26.7088,85.9224,NP,AS,OTHER
JLN,Joplin Regional Airport,37.1518,-94.4983,US,NA,OTHER
JLR,Jabalpur Airport,23.1778,80.052,IN,AS,OTHER
JMJ,Lancang Jingmai Airport,22.4177,99.784,CN,AS,OTHER
JMK,Mykonos Island National Airport,37.4351,25.3481,GR,EU,EU
JMS,Jamestown Regional Airport,46.9297,-98.6782,US,NA,OTHER
