iata,name,lat,lon,country,continent,region
AAA,Anaa Airport,-17.3526,-145.51,PF,OC,EU
AAC,El Arish International Airport,31.0553,33.828,EG,AS,OTHER
AAE,Annaba Rabah Bitat Airport,36.8268,7.8133,DZ,AF,OTHER
AAL,Aalborg Airport,57.0948,9.8499,DK,EU,EU
AAM,Malamala Airport,-24.8169,31.5441,ZA,AF,OTHER
AAN,Al Ain International Airport,24.2617,55.6092,AE,AS,OTHER
AAO,Anaco Airport,9.4302,-64.4707,VE,SA,OTHER
AAP,Aji Pangeran Tumenggung Pranoto International Airport,-0.3745,117.2501,ID,AS,OTHER
AAQ,Anapa Vityazevo Airport,45.0021,37.3473,RU,EU,OTHER
AAR,Aarhus Airport,56.3033,10.6183,DK,EU,EU
AAT,Altay Xuedu Airport,47.7499,88.0858,CN,AS,OTHER
AAV,Allah Valley Airport,6.3679,124.7524,PH,AS,OTHER
AAX,Romeu Zema Airport,-19.5632,-46.9604,BR,SA,OTHER
AAY,Al Ghaydah International Airport,16.1933,52.1742,YE,AS,OTHER
ABA,Abakan International Airport,53.74,91.385,RU,AS,OTHER
ABB,Asaba International Airport,6.2042,6.6653,NG,AF,OTHER
ABC,Albacete Airport / Los Llanos Air Base,38.9485,-1.8635,ES,EU,EU
ABD,Abadan Ayatollah Jami International Airport,30.3679,48.2301,IR,AS,OTHER
ABE,Lehigh Valley International Airport,40.6518,-75.4428,US,NA,OTHER
ABI,Abilene Regional Airport,32.4113,-99.6819,US,NA,OTHER
ABJ,Félix-Houphouët-Boigny International Airport,5.2614,-3.9263,CI,AF,OTHER
ABK,Kebri Dahar Airport,6.7326,44.2413,ET,AF,OTHER
ABL,Ambler Airport,67.1055,-157.8553,US,NA,OTHER
ABQ,Albuquerque International Sunport,35.04,-106.6089,US,NA,OTHER
ABR,Aberdeen Regional Airport,45.4491,-98.4218,US,NA,OTHER
ABS,Abu Simbel Airport,22.3759,31.6117,EG,AF,OTHER
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,20.2985,41.6362,SA,AS,OTHER
ABV,Nnamdi Azikiwe International Airport,9.0068,7.2632,NG,AF,OTHER
ABX,Albury Airport,-36.0668,146.9591,AU,OC,OTHER
ABY,Southwest Georgia Regional Airport,31.5329,-84.1962,US,NA,OTHER
ABZ,Aberdeen International Airport,57.2019,-2.1978,GB,EU,EU
ACA,General Juan N. Álvarez International Airport,16.7571,-99.7531,MX,NA,OTHER
ACC,Kotoka International Airport,5.6052,-0.1668,GH,AF,OTHER
ACE,César Manrique-Lanzarote Airport,28.9455,-13.6052,ES,AF,EU
ACH,Sankt Gallen Altenrhein Airport,47.485,9.5608,CH,EU,OTHER
ACI,Alderney Airport,49.7061,-2.2147,GG,EU,OTHER
ACJ,Anuradhapura Airport,8.3015,80.4285,LK,AS,OTHER
ACK,Nantucket Memorial Airport,41.2531,-70.0602,US,NA,OTHER
ACN,Ciudad Acuña International Airport,29.3337,-101.1006,MX,NA,OTHER
ACS,Achinsk Airport,56.2692,90.5751,RU,AS,OTHER
ACT,Waco Regional Airport,31.6113,-97.2305,US,NA,OTHER
ACV,California Redwood Coast-Humboldt County Airport,40.9781,-124.109,US,NA,OTHER
ACX,Xingyi Wanfenglin Airport,25.0834,104.9608,CN,AS,OTHER
ACY,Atlantic City International Airport,39.4562,-74.5775,US,NA,OTHER
ACZ,Zabol Airport,31.0983,61.5439,IR,AS,OTHER
ADA,Adana Şakirpaşa Airport,36.9822,35.2804,TR,AS,OTHER
ADB,Adnan Menderes International Airport,38.2924,27.157,TR,AS,OTHER
ADD,Addis Ababa Bole International Airport,8.9779,38.7993,ET,AF,OTHER
ADE,Aden International Airport,12.8296,45.03,YE,AS,OTHER
ADF,Adıyaman Airport,37.7314,38.4689,TR,AS,OTHER
ADI,Arandis Airport,-22.4619,14.9793,NA,AF,OTHER
ADJ,Marka International (Amman Civil) Airport,31.9727,35.9916,JO,AS,OTHER
ADK,Adak Airport,51.8836,-176.6428,US,NA,OTHER
ADL,Adelaide International Airport,-34.9475,138.5334,AU,OC,OTHER
ADP,Ampara Airport,7.3367,81.6239,LK,AS,OTHER
ADQ,Kodiak Airport,57.75,-152.494,US,NA,OTHER
ADT,Ada Regional Airport,34.8052,-96.672,US,NA,OTHER
ADU,Ardabil Airport,38.3257,48.4244,IR,AS,OTHER
ADW,Joint Base Andrews,38.8108,-76.867,US,NA,OTHER
ADX,Leuchars Station Airfield,56.374,-2.8689,GB,EU,EU
ADZ,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112,CO,NA,OTHER
AEB,Baise (Bose) Bama Airport,23.7206,106.96,CN,AS,OTHER
AEG,Aek Godang Airport,1.4001,99.4305,ID,AS,OTHER
AEH,Abeche Airport,13.847,20.8443,TD,AF,OTHER
AEP,Aeroparque Jorge Newbery,-34.5594,-58.4155,AR,SA,OTHER
AER,Sochi International Airport,43.4499,39.9566,RU,EU,OTHER
AES,Ålesund Airport,62.5604,6.1108,NO,EU,EU
AEU,Abu Musa Island Airport,25.8757,55.033,IR,AS,OTHER
AEX,Alexandria International Airport,31.3258,-92.5467,US,NA,OTHER
AEY,Akureyri International Airport,65.6566,-18.072,IS,EU,EU
AFA,Suboficial Ay Santiago Germano Airport,-34.5883,-68.4039,AR,SA,OTHER
AFL,Piloto Osvaldo Marques Dias Airport,-9.8664,-56.1063,BR,SA,OTHER
AFW,Perot Field/Fort Worth Alliance Airport,32.9904,-97.3195,US,NA,OTHER
AFY,Afyon Air Base,38.7264,30.6011,TR,AS,OTHER
AFZ,Sabzevar National Airport,36.1681,57.5952,IR,AS,OTHER
AGA,Al Massira Airport,30.3225,-9.412,MA,AF,OTHER
AGB,Augsburg Airport,48.4253,10.9317,DE,EU,EU
AGC,Allegheny County Airport,40.3544,-79.9302,US,NA,OTHER
AGF,Agen La Garenne airport,44.1742,0.5931,FR,EU,EU
AGH,Ängelholm-Helsingborg Airport,56.2961,12.8471,SE,EU,EU
AGP,Málaga-Costa del Sol Airport,36.6749,-4.4991,ES,EU,EU
AGR,Agra Airport / Agra Air Force Station,27.158,77.961,IN,AS,OTHER
AGS,Augusta Regional At Bush Field,33.3699,-81.9645,US,NA,OTHER
AGT,Guaraní International Airport,-25.4572,-54.8395,PY,SA,OTHER
AGU,Aguascalientes International Airport,21.6996,-102.3184,MX,NA,OTHER
AGV,Oswaldo Guevara Mujica Airport,9.5534,-69.2379,VE,SA,OTHER
AGX,Agatti Airport,10.8237,72.176,IN,AS,OTHER
AGZ,Aggeneys Airport,-29.2818,18.8139,ZA,AF,OTHER
AHA,Maa Mahamaya Airport,22.9875,83.1961,IN,AS,OTHER
AHB,Abha International Airport,18.2404,42.6566,SA,AS,OTHER
AHE,Ahe Airport,-14.4281,-146.257,PF,OC,EU
AHJ,Hongyuan Airport,32.5315,102.3522,CN,AS,OTHER
AHN,Athens Ben Epps Airport,33.9488,-83.3256,US,NA,OTHER
AHO,Alghero-Fertilia Airport,40.6321,8.2908,IT,EU,EU
AHU,Cherif Al Idrissi Airport,35.1771,-3.8395,MA,AF,OTHER
AIA,Alliance Municipal Airport,42.0525,-102.804,US,NA,OTHER
AIN,Wainwright Airport,70.638,-159.995,US,NA,OTHER
AJA,Ajaccio Napoléon Bonaparte airport,41.9236,8.8029,FR,EU,EU
AJF,Al-Jawf International Airport,29.7833,40.1009,SA,AS,OTHER
AJI,Ağrı Airport,39.6556,43.0257,TR,AS,OTHER
AJL,Lengpui Airport,23.8406,92.6197,IN,AS,OTHER
AJN,Ouani Airport,-12.131,44.43,KM,AF,OTHER
AJR,Arvidsjaur Airport,65.5903,19.2819,SE,EU,EU
AJU,Aracaju - Santa Maria Airport,-10.9839,-37.0729,BR,SA,OTHER
AJY,Mano Dayak International Airport,16.966,8.0001,NE,AF,OTHER
AKC,Akron Fulton International Airport,41.0374,-81.4678,US,NA,OTHER
AKD,Akola Airport,20.6989,77.0569,IN,AS,OTHER
AKF,Kufra Airport,24.1787,23.314,LY,AF,OTHER
AKH,Prince Sultan Air Base,24.0627,47.5805,SA,AS,OTHER
AKJ,Asahikawa Airport,43.6708,142.447,JP,AS,OTHER
AKL,Auckland International Airport,-37.012,174.7863,NZ,OC,OTHER
AKN,King Salmon Airport,58.6778,-156.652,US,NA,OTHER
AKP,Anaktuvuk Pass Airport,68.1336,-151.743,US,NA,OTHER
AKR,Akure Airport,7.2467,5.301,NG,AF,OTHER
AKT,RAF Akrotiri,34.5904,32.9879,CY,AS,EU
AKU,Aksu Hongqipo Airport,41.2625,80.2917,CN,AS,OTHER
AKW,Aghajari Airport,30.7444,49.6772,IR,AS,OTHER
AKX,Aktobe International Airport,50.2481,57.2041,KZ,AS,OTHER
AKY,Sittwe Airport,20.1332,92.8707,MM,AS,OTHER
ALA,Almaty International Airport,43.3543,77.0428,KZ,AS,OTHER
ALB,Albany International Airport,42.7483,-73.8017,US,NA,OTHER
ALC,Alicante-Elche Miguel Hernández Airport,38.2822,-0.5582,ES,EU,EU
ALF,Alta Airport,69.9761,23.3717,NO,EU,EU
ALG,Houari Boumediene Airport,36.6939,3.2145,DZ,AF,OTHER
ALH,Albany Airport,-34.9433,117.8089,AU,OC,OTHER
ALI,Alice International Airport,27.7409,-98.0269,US,NA,OTHER
ALJ,Alexander Bay Airport,-28.575,16.5333,ZA,AF,OTHER
ALM,Alamogordo White Sands Regional Airport,32.8378,-105.9931,US,NA,OTHER
ALN,St Louis Regional Airport,38.8903,-90.046,US,NA,OTHER
ALO,Waterloo Regional Airport,42.5571,-92.4003,US,NA,OTHER
ALP,Aleppo International Airport,36.1813,37.2269,SY,AS,OTHER
ALR,Alexandra Aerodrome,-45.2105,169.3711,NZ,OC,OTHER
ALS,San Luis Valley Regional Airport/Bergman Field,37.4349,-105.867,US,NA,OTHER
ALW,Walla Walla Regional Airport,46.0949,-118.288,US,NA,OTHER
AMA,Rick Husband Amarillo International Airport,35.2179,-101.7064,US,NA,OTHER
AMD,Sardar Vallabh Patel International Airport,23.0772,72.6347,IN,AS,OTHER
AMH,Arba Minch Airport,6.0394,37.5905,ET,AF,OTHER
AMM,Queen Alia International Airport,31.7226,35.9932,JO,AS,OTHER
AMQ,Pattimura International Airport,-3.7103,128.089,ID,AS,OTHER
AMS,Amsterdam Airport Schiphol,52.3086,4.7639,NL,EU,EU
AMV,Amderma Airport,69.7633,61.5564,RU,AS,OTHER
AMZ,Ardmore Airport,-37.0297,174.973,NZ,OC,OTHER
ANB,Anniston Regional Airport,33.5882,-85.8581,US,NA,OTHER
ANC,Ted Stevens Anchorage International Airport,61.179,-149.9926,US,NA,OTHER
AND,Anderson Regional Airport,34.4946,-82.7094,US,NA,OTHER
ANE,Angers Marcé airport,47.5603,-0.3122,FR,EU,EU
ANF,Andrés Sabella Gálvez International Airport,-23.4453,-70.4452,CL,SA,OTHER
ANG,Angoulême Brie-Champniers airport,45.7292,0.2215,FR,EU,EU
ANI,Aniak Airport,61.5816,-159.543,US,NA,OTHER
ANK,Etimesgut Air Base,39.9498,32.6886,TR,AS,OTHER
ANM,Antsirabe Airport,-14.9994,50.3202,MG,AF,OTHER
ANN,Annette Island Airport,55.0377,-131.5726,US,NA,OTHER
ANR,Antwerp International Airport (Deurne),51.1907,4.4632,BE,EU,EU
ANU,V. C. Bird International Airport,17.1367,-61.7927,AG,NA,OTHER
ANV,Anvik Airport,62.6467,-160.191,US,NA,OTHER
ANX,"Andøya Airport, Andenes",69.2952,16.1394,NO,EU,EU
AOC,Leipzig–Altenburg Airport,50.9819,12.5064,DE,EU,EU
AOE,Hasan Polatkan Airport,39.8116,30.5193,TR,AS,OTHER
AOG,Anshan Teng'ao Airport / Anshan Air Base,41.1053,122.854,CN,AS,OTHER
AOI,Marche Airport,43.6163,13.3623,IT,EU,EU
AOJ,Aomori Airport,40.7338,140.6895,JP,AS,OTHER
AOK,Karpathos Airport,35.4214,27.146,GR,EU,EU
AOL,Paso De Los Libres Airport,-29.6894,-57.1521,AR,SA,OTHER
AOO,Altoona Blair County Airport,40.2964,-78.32,US,NA,OTHER
AOR,Sultan Abdul Halim Airport,6.1897,100.398,MY,AS,OTHER
AOT,Aosta Corrado Gex Airport,45.7386,7.3683,IT,EU,EU
APA,Centennial Airport,39.5701,-104.849,US,NA,OTHER
APF,Naples Municipal Airport,26.1526,-81.7753,US,NA,OTHER
APG,Phillips Army Air Field,39.4662,-76.1688,US,NA,OTHER
API,Gomez Nino Apiay Air Base,4.0761,-73.5627,CO,SA,OTHER
APJ,Ali Pulan Airport,30.3979,81.1332,CN,AS,OTHER
APL,Nampula Airport,-15.1056,39.2818,MZ,AF,OTHER
APN,Alpena County Regional Airport,45.0781,-83.5603,US,NA,OTHER
APO,Antonio Roldán Betancur Airport,7.812,-76.7164,CO,SA,OTHER
APW,Faleolo International Airport,-13.83,-172.008,WS,OC,OTHER
APZ,Zapala Airport,-38.9755,-70.1136,AR,SA,OTHER
AQA,Araraquara Airport,-21.812,-48.133,BR,SA,OTHER
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,30.5822,117.05,CN,AS,OTHER
AQI,Qaisumah–Hafar Al-Batin International Airport,28.3357,46.1271,SA,AS,OTHER
AQJ,King Hussein International Airport,29.6116,35.0181,JO,AS,OTHER
AQP,Rodríguez Ballón International Airport,-16.3408,-71.5695,PE,SA,OTHER
ARA,Acadiana Regional Airport,30.0378,-91.8839,US,NA,OTHER
ARC,Arctic Village Airport,68.1147,-145.579,US,NA,OTHER
ARE,Antonio Nery Juarbe Pol Airport,18.4508,-66.6758,PR,NA,OTHER
ARH,Talagi Airport,64.6003,40.7167,RU,EU,OTHER
ARI,Chacalluta International Airport,-18.3485,-70.3387,CL,SA,OTHER
ARK,Arusha Airport,-3.3678,36.6333,TZ,AF,OTHER
ARM,Armidale Airport,-30.5281,151.617,AU,OC,OTHER
ARN,Stockholm-Arlanda Airport,59.6485,17.9288,SE,EU,EU
ART,Watertown International Airport,43.9919,-76.0217,US,NA,OTHER
ARU,Araçatuba Airport,-21.1415,-50.4246,BR,SA,OTHER
ARW,Arad International Airport,46.1761,21.2643,RO,EU,EU
ARX,Aracati Dragão do Mar Regional Airport,-4.5689,-37.8051,BR,SA,OTHER
ARY,Ararat Airport,-37.31,142.9887,AU,OC,OTHER
ASA,Assab International Airport,13.0718,42.645,ER,AF,OTHER
ASB,Ashgabat International Airport,37.9868,58.361,TM,AS,OTHER
ASD,Andros Town Airport,24.6979,-77.7956,BS,NA,OTHER
ASE,Aspen-Pitkin County Airport (Sardy Field),39.2232,-106.869,US,NA,OTHER
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.2828,48.0105,RU,AS,OTHER
ASI,RAF Ascension Island,-7.9702,-14.3927,SH,AF,OTHER
ASJ,Amami Airport,28.4306,129.713,JP,AS,OTHER
ASK,Yamoussoukro International Airport,6.9032,-5.3656,CI,AF,OTHER
ASM,Asmara International Airport,15.2919,38.9107,ER,AF,OTHER
ASO,Asosa Airport,10.0185,34.5863,ET,AF,OTHER
ASP,Alice Springs Airport,-23.8066,133.9034,AU,OC,OTHER
ASR,Kayseri Erkilet International Airport,38.7704,35.4954,TR,AS,OTHER
AST,Astoria Regional Airport,46.158,-123.879,US,NA,OTHER
ASU,Silvio Pettirossi International Airport,-25.2402,-57.5192,PY,SA,OTHER
ASV,Amboseli Airport,-2.6448,37.2529,KE,AF,OTHER
ASW,Aswan International Airport,23.9611,32.8204,EG,AF,OTHER
ATA,Comandante FAP German Arias Graziani Airport,-9.3474,-77.5984,PE,SA,OTHER
ATC,Arthur's Town Airport,24.6294,-75.6738,BS,NA,OTHER
ATF,Chachoán Regional Airport,-1.2121,-78.5746,EC,SA,OTHER
ATG,Minhas Air Base,33.8691,72.4009,PK,AS,OTHER
ATH,Athens Eleftherios Venizelos International Airport,37.9364,23.9445,GR,EU,EU
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.467,-157.436,US,NA,OTHER
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.4281,US,NA,OTHER
ATM,Altamira Interstate Airport,-3.2531,-52.2539,BR,SA,OTHER
ATQ,Sri Guru Ram Das Ji International Airport,31.7096,74.7973,IN,AS,OTHER
ATR,Atar International Airport,20.5058,-13.0437,MR,AF,OTHER
ATW,Appleton International Airport,44.2585,-88.519,US,NA,OTHER
ATY,Watertown Regional Airport,44.914,-97.1547,US,NA,OTHER
ATZ,Asyut International Airport,27.046,31.0128,EG,AF,OTHER
AUA,Queen Beatrix International Airport,12.5011,-70.0143,AW,NA,OTHER
AUC,Santiago Perez Airport,7.0689,-70.7369,CO,SA,OTHER
AUF,Auxerre Branches airport,47.8502,3.4971,FR,EU,EU
AUG,Augusta State Airport,44.3206,-69.7973,US,NA,OTHER
AUH,Zayed International Airport,24.441,54.6492,AE,AS,OTHER
AUQ,Hiva Oa-Atuona Airport,-9.7688,-139.011,PF,OC,EU
AUR,Aurillac airport,44.8914,2.4219,FR,EU,EU
AUS,Austin Bergstrom International Airport,30.1975,-97.662,US,NA,OTHER
AUW,Wausau Downtown Airport,44.9262,-89.6266,US,NA,OTHER
AUX,Araguaína Airport,-7.2279,-48.2405,BR,SA,OTHER
AVA,Anshun Huangguoshu Airport,26.2606,105.8733,CN,AS,OTHER
AVB,Aviano Air Base,46.0319,12.5965,IT,EU,EU
AVI,Máximo Gómez Airport,22.0271,-78.7896,CU,NA,OTHER
AVK,Arvaikheer Airport,46.2503,102.802,MN,AS,OTHER
AVL,Asheville Regional Airport,35.4355,-82.5419,US,NA,OTHER
AVN,Avignon Caumont airport,43.9073,4.9018,FR,EU,EU
AVP,Wilkes-Barre/Scranton International Airport,41.3371,-75.7242,US,NA,OTHER
AVV,Melbourne Avalon International Airport,-38.0403,144.4672,AU,OC,OTHER
AWA,Hawassa International Airport,7.1006,38.3965,ET,AF,OTHER
AWK,Wake Island Airfield,19.2824,166.6366,UM,OC,OTHER
AWZ,Qasem Soleimani International Airport,31.3364,48.7638,IR,AS,OTHER
AXA,Clayton J. Lloyd International Airport,18.2048,-63.0538,AI,NA,OTHER
AXD,Alexandroupoli Democritus Airport,40.8559,25.9563,GR,EU,EU
AXF,Alxa Left Banner Bayanhot Airport,38.7483,105.5842,CN,AS,OTHER
AXJ,Amakusa Airport,32.4825,130.159,JP,AS,OTHER
AXK,Ataq Airport,14.5513,46.8262,YE,AS,OTHER
AXM,El Eden Airport,4.4528,-75.7664,CO,SA,OTHER
AXN,Chandler Field,45.8663,-95.3947,US,NA,OTHER
AXP,Spring Point Airport,22.4418,-73.9709,BS,NA,OTHER
AXR,Arutua Airport,-15.2483,-146.617,PF,OC,EU
AXT,Akita Airport,39.6156,140.219,JP,AS,OTHER
AXU,Axum Airport,14.1468,38.7728,ET,AF,OTHER
AYJ,Maharshi Valmiki International Airport,26.7477,82.1637,IN,AS,OTHER
AYO,Aeropuerto Nacional Juan de Ayolas,-27.3784,-56.8568,PY,SA,OTHER
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,-13.1548,-74.2044,PE,SA,OTHER
AYQ,Ayers Rock Connellan Airport,-25.1859,130.977,AU,OC,OTHER
AYT,Antalya International Airport,36.8987,30.8005,TR,AS,OTHER
AYX,Teniente General Gerardo Pérez Pinedo Airport,-10.7291,-73.7665,PE,SA,OTHER
AZA,Mesa Gateway Airport,33.3078,-111.655,US,NA,OTHER
AZD,Shahid Sadooghi Airport,31.9049,54.2765,IR,AS,OTHER
AZI,Al Bateen Executive Airport,24.4271,54.4599,AE,AS,OTHER
AZN,Andijan International Airport,40.7277,72.294,UZ,AS,OTHER
AZO,Kalamazoo/Battle Creek International Airport,42.2321,-85.5496,US,NA,OTHER
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,27.8376,-0.1864,DZ,AF,OTHER
AZS,Samaná El Catey International Airport,19.2693,-69.7374,DO,NA,OTHER
BAB,Beale Air Force Base,39.1361,-121.437,US,NA,OTHER
BAD,Barksdale Air Force Base,32.5018,-93.6627,US,NA,OTHER
BAF,Westfield-Barnes Regional Airport,42.1578,-72.7156,US,NA,OTHER
BAG,Loakan Airport,16.375,120.6199,PH,AS,OTHER
BAH,Bahrain International Airport,26.2673,50.6376,BH,AS,OTHER
BAI,Buenos Aires Airport,9.1639,-83.3302,CR,NA,OTHER
BAL,Batman Airport,37.929,41.1166,TR,AS,OTHER
BAQ,Ernesto Cortissoz International Airport,10.8896,-74.7808,CO,SA,OTHER
BAR,Qionghai Bo'ao Airport,19.141,110.4528,CN,AS,OTHER
BAT,Chafei Amsei Airport,-20.5846,-48.5941,BR,SA,OTHER
BAV,Baotou Donghe International Airport,40.56,109.997,CN,AS,OTHER
BAX,Barnaul Gherman Titov International Airport,53.3613,83.5397,RU,AS,OTHER
BAY,Maramureș International Airport,47.6584,23.4644,RO,EU,EU
BBA,Balmaceda Airport,-45.916,-71.6895,CL,SA,OTHER
BBD,Curtis Field,31.1789,-99.3247,US,NA,OTHER
BBI,Biju Patnaik International Airport,20.251,85.8147,IN,AS,OTHER
BBK,Kasane International Airport,-17.8317,25.1662,BW,AF,OTHER
BBM,Battambang Airport,13.0956,103.224,KH,AS,OTHER
BBN,Bario Airport,3.7346,115.4785,MY,AS,OTHER
BBO,Berbera Airport,10.385,44.9367,SO,AF,OTHER
BBQ,Burton-Nibbs International Airport,17.6212,-61.7983,AG,NA,OTHER
BBS,Blackbushe Airport,51.3239,-0.8475,GB,EU,EU
BBT,Berbérati Airport,4.2216,15.7864,CF,AF,OTHER
BBU,Bucharest Băneasa Aurel Vlaicu International Airport,44.5031,26.1029,RO,EU,EU
BCA,Gustavo Rizo Airport,20.3653,-74.5062,CU,NA,OTHER
BCD,Bacolod-Silay International Airport,10.7762,123.0189,PH,AS,OTHER
BCE,Bryce Canyon Airport,37.7064,-112.145,US,NA,OTHER
BCH,Baucau Airport,-8.4865,126.4,TL,AS,OTHER
BCI,Barcaldine Airport,-23.5663,145.3021,AU,OC,OTHER
BCL,Barra del Colorado Airport,10.7687,-83.5856,CR,NA,OTHER
BCM,Bacău George Enescu International  Airport,46.5219,26.9103,RO,EU,EU
BCN,Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.0785,ES,EU,EU
BCO,Jinka Airport,5.7497,36.5602,ET,AF,OTHER
BCQ,Brak Airport,27.653,14.272,LY,AF,OTHER
BCT,Boca Raton Airport,26.3785,-80.1077,US,NA,OTHER
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.4828,9.744,NG,AF,OTHER
BCW,Benguera Island Airport,-21.8533,35.4383,MZ,AF,OTHER
BDA,L.F. Wade International Airport,32.3638,-64.6782,BM,NA,OTHER
BDB,Bundaberg Airport,-24.905,152.3226,AU,OC,OTHER
BDE,Baudette International Airport,48.7284,-94.6122,US,NA,OTHER
BDH,Bandar Lengeh International Airport,26.5323,54.8248,IR,AS,OTHER
BDJ,Syamsudin Noor International Airport,-3.4401,114.7612,ID,AS,OTHER
BDL,Bradley International Airport,41.9386,-72.688,US,NA,OTHER
BDM,Bandırma Airport,40.318,27.9777,TR,AS,OTHER
BDO,Husein Sastranegara International Airport,-6.9006,107.576,ID,AS,OTHER
BDQ,Vadodara International Airport,22.3362,73.2263,IN,AS,OTHER
BDR,Igor I Sikorsky Memorial Airport,41.1635,-73.1262,US,NA,OTHER
BDS,Brindisi Airport,40.6576,17.947,IT,EU,EU
BDT,Gbadolite Airport,4.2527,20.9753,CD,AF,OTHER
BDU,Bardufoss Airport,69.0558,18.5404,NO,EU,EU
BEB,Benbecula Airport,57.4811,-7.3628,GB,EU,EU
BED,Laurence G Hanscom Field,42.47,-71.289,US,NA,OTHER
BEF,Bluefields Airport,11.991,-83.7741,NI,NA,OTHER
BEG,Belgrade Nikola Tesla Airport,44.8184,20.3091,RS,EU,OTHER
BEJ,Kalimarau Airport,2.1478,117.4307,ID,AS,OTHER
BEK,Bareilly Air Force Station,28.4221,79.4508,IN,AS,OTHER
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,-1.3793,-48.4762,BR,SA,OTHER
BEM,Beni Mellal Airport,32.4019,-6.3159,MA,AF,OTHER
BEN,Benina International Airport,32.0968,20.2695,LY,AF,OTHER
BEP,Bellary Airport,15.1628,76.8828,IN,AS,OTHER
BEQ,RAF Honington,52.3426,0.7729,GB,EU,EU
BER,Berlin Brandenburg Airport,52.3617,13.5023,DE,EU,EU
BES,Brest Bretagne airport,48.4479,-4.4185,FR,EU,EU
BET,Bethel Airport,60.7798,-161.838,US,NA,OTHER
BEU,Bedourie Airport,-24.3461,139.46,AU,OC,OTHER
BEW,Beira International Airport,-19.7964,34.9076,MZ,AF,OTHER
BEX,RAF Benson,51.6144,-1.096,GB,EU,EU
BEY,Beirut Rafic Hariri International Airport,33.8198,35.4874,LB,AS,OTHER
BFD,Bradford Regional Airport,41.8031,-78.6401,US,NA,OTHER
BFE,Bielefeld Airport,51.9647,8.5444,DE,EU,EU
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.874,-103.596,US,NA,OTHER
BFH,Bacacheri Airport,-25.4051,-49.232,BR,SA,OTHER
BFI,King County International Airport - Boeing Field,47.527,-122.2999,US,NA,OTHER
BFJ,Bijie Feixiong Airport,27.2671,105.4721,CN,AS,OTHER
BFK,Buckley Space Force Base,39.7017,-104.752,US,NA,OTHER
BFL,Meadows Field,35.4336,-119.057,US,NA,OTHER
BFM,Mobile Downtown Airport,30.6268,-88.0681,US,NA,OTHER
BFN,Bram Fischer International Airport,-29.0927,26.3024,ZA,AF,OTHER
BFO,Buffalo Range Airport,-21.0081,31.5786,ZW,AF,OTHER
BFP,Beaver County Airport,40.7725,-80.3914,US,NA,OTHER
BFS,Belfast International Airport,54.6575,-6.2158,GB,EU,EU
BFU,Bengbu Renheji Airport,32.8477,117.3202,CN,AS,OTHER
BFV,Buri Ram Airport,15.2295,103.253,TH,AS,OTHER
BFX,Bafoussam Airport,5.5369,10.3546,CM,AF,OTHER
BFY,Bengbu Tenghu Airport,33.1663,117.0583,CN,AS,OTHER
BGA,Palonegro Airport,7.1265,-73.1848,CO,SA,OTHER
BGC,Bragança Airport,41.8578,-6.7071,PT,EU,EU
BGF,Bangui M'Poko International Airport,4.3985,18.5188,CF,AF,OTHER
BGI,Grantley Adams International Airport,13.0747,-59.491,BB,NA,OTHER
BGM,Greater Binghamton/Edwin A Link field,42.2087,-75.9798,US,NA,OTHER
BGN,Belaya Gora Airport,68.5562,146.2278,RU,AS,OTHER
BGO,"Bergen Airport, Flesland",60.2934,5.2181,NO,EU,EU
BGR,Bangor International Airport,44.8064,-68.8267,US,NA,OTHER
BGW,Baghdad International Airport / New Al Muthana Air Base,33.2625,44.2346,IQ,AS,OTHER
BGX,Comandante Gustavo Kraemer Airport,-31.3905,-54.1122,BR,SA,OTHER
BGY,Il Caravaggio International Airport,45.6694,9.7089,IT,EU,EU
BHB,Hancock County-Bar Harbor Airport,44.45,-68.3615,US,NA,OTHER
BHD,George Best Belfast City Airport,54.6181,-5.8725,GB,EU,EU
BHE,Woodbourne Airport,-41.5183,173.87,NZ,OC,OTHER
BHH,Bisha Airport,19.9844,42.6209,SA,AS,OTHER
BHI,Comandante Espora Airport,-38.725,-62.1693,AR,SA,OTHER
BHJ,Bhuj Airport,23.2878,69.6702,IN,AS,OTHER
BHK,Bukhara International Airport,39.7753,64.4823,UZ,AS,OTHER
BHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7507,US,NA,OTHER
BHO,Raja Bhoj International Airport,23.2875,77.3374,IN,AS,OTHER
BHQ,Broken Hill Airport,-32.0014,141.472,AU,OC,OTHER
BHS,Bathurst Airport,-33.4068,149.6512,AU,OC,OTHER
BHU,Bhavnagar Airport,21.7522,72.1852,IN,AS,OTHER
BHV,Bahawalpur Airport,29.3481,71.718,PK,AS,OTHER
